ID,Head,Options,Type,Correct_Answer,Degree,Course_ID
1,True or False:A clustered index determines physical data order.,A) True; B) False,True/False,A,5,1
2,True or False: Normalization reduces data redundancy.,A) True; B) False,True/False,A,5,1
3,What is the purpose ofA JOIN in SQL?,A) Delete records; B) Combine rows from multiple tables; C) Update records; D) CreateA new table,Multiple choice,B,5,1
4,What isA stored procedure in SQL?,A)A temporary table; B)A precompiled query; C)A data type; D)An index,Multiple choice,B,5,1
5,What does SQL stand for?,A) Simple Query Language; B) Structured Query Language; C) System Query List; D) Statement Question Language,Multiple choice,B,5,1
6,What does the GROUP BY clause do?,A) Filters rows; B) Sorts rows; C) Groups rows by column values; D) Joins tables,Multiple choice,C,5,1
7,Which SQL function counts rows?,A) SUM(); B) COUNT(); C)AVG(); D) MAX(),Multiple choice,B,5,1
8,What does the SELECT statement do?,A) Updates data; B) Retrieves data; C) Deletes data; D) Inserts data,Multiple choice,B,5,1
9,Which SQL clause filters rows before grouping?,A) HAVING; B) WHERE; C) ORDER BY; D) GROUP BY,Multiple choice,B,5,1
10,What does theALTER TABLE command do?,A) DeletesA table; B) ModifiesA table structure; C) Inserts data; D) Retrieves data,Multiple choice,B,5,1
11,Which SQL clause sorts query results?,A) WHERE; B) ORDER BY; C) GROUP BY; D) HAVING,Multiple choice,B,5,1
12,What does the LIKE operator do in SQL?,A) Joins tables; B) Matches patterns; C) Sorts data; D) Groups data,Multiple choice,B,5,1
13,What isA trigger in SQL?,A)A data type; B)AnAutomaticAction; C)A query; D)A table,Multiple choice,B,5,1
14,Which SQL command deletesA table?,A) DELETE; B) DROP; C) TRUNCATE; D) REMOVE,Multiple choice,B,5,1
15,Which SQL clause filters rowsAfter grouping?,A) WHERE; B) HAVING; C) GROUP BY; D) ORDER BY,Multiple choice,B,5,1
16,Which type of join returnsAll rows from both tables?,A) INNER JOIN; B) LEFT JOIN; C) RIGHT JOIN; D) FULL JOIN,Multiple choice,D,5,1
17,Which SQL commandAdds new rows toA table?,A) INSERT; B) UPDATE; C)ALTER; D) SELECT,Multiple choice,A,5,1
18,True or False: Indexes can speed up queries.,A) True; B) False,True/False,A,5,1
19,True or False:A view isA physical table.,A) True; B) False,True/False,B,5,1
20,What does the UNION operator do?,A) Combines rows from multiple queries; B) Joins tables; C) Filters rows; D) Sorts results,Multiple choice,A,5,1
21,True or False:A primary key can contain NULL values.,A) True; B) False,True/False,B,5,1
22,True or False:A composite key consists of multiple columns.,A) True; B) False,True/False,A,5,1
23,True or False:A foreign key enforces referential integrity.,A) True; B) False,True/False,A,5,1
24,Which SQL command updates existing records?,A) INSERT; B) UPDATE; C)ALTER; D) MODIFY,Multiple choice,B,5,1
25,Which SQL function finds the maximum value?,A) MAX(); B) MIN(); C)AVG(); D) SUM(),Multiple choice,A,5,1
26,True or False:A database view can be updated.,A) True; B) False,True/False,A,5,1
27,Which command createsA new table in SQL?,A)ADD TABLE; B) CREATE TABLE; C) NEW TABLE; D) INSERT TABLE,Multiple choice,B,5,1
28,Which command removesAll records fromA table?,A) DELETE; B) DROP; C) TRUNCATE; D) REMOVE,Multiple choice,C,5,1
29,True or False:A transaction ensures data consistency.,A) True; B) False,True/False,A,5,1
30,What isA database schema?,A)A query; B)A table structure; C)A database structure; D)A data type,Multiple choice,C,5,1
31,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,2
32,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,2
33,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,2
34,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,2
35,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,2
36,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,2
37,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,2
38,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,2
39,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,2
40,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,2
41,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,2
42,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,2
43,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,2
